,symboling,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,gruped_num_of_cylinders,grouped_bodystyle
169,2,toyota,gas,std,two,hatchback,rwd,front,9840,17620,6560,5200,2551,ohc,four,146,mpfi,3.62,3.5,930,116.0,4800.0,24,30,9989.0,three_four,hatchback
170,2,toyota,gas,std,two,hardtop,rwd,front,9840,17620,6560,5200,2679,ohc,four,146,mpfi,3.62,3.5,930,116.0,4800.0,24,30,11199.0,three_four,hardtop_convert
171,2,toyota,gas,std,two,hatchback,rwd,front,9840,17620,6560,5200,2714,ohc,four,146,mpfi,3.62,3.5,930,116.0,4800.0,24,30,11549.0,three_four,hatchback
172,2,toyota,gas,std,two,convertible,rwd,front,9840,17620,6560,5300,2975,ohc,four,146,mpfi,3.62,3.5,930,116.0,4800.0,24,30,17669.0,three_four,hardtop_convert
173,-1,toyota,gas,std,four,sedan,fwd,front,10240,17560,6650,5490,2326,ohc,four,122,mpfi,3.31,3.54,870,92.0,4200.0,29,34,8948.0,three_four,sedan
174,-1,toyota,diesel,turbo,four,sedan,fwd,front,10240,17560,6650,5490,2480,ohc,four,110,idi,3.27,3.35,2250,73.0,4500.0,30,33,10698.0,three_four,sedan
175,-1,toyota,gas,std,four,hatchback,fwd,front,10240,17560,6650,5390,2414,ohc,four,122,mpfi,3.31,3.54,870,92.0,4200.0,27,32,9988.0,three_four,hatchback
176,-1,toyota,gas,std,four,sedan,fwd,front,10240,17560,6650,5490,2414,ohc,four,122,mpfi,3.31,3.54,870,92.0,4200.0,27,32,10898.0,three_four,sedan
177,-1,toyota,gas,std,four,hatchback,fwd,front,10240,17560,6650,5390,2458,ohc,four,122,mpfi,3.31,3.54,870,92.0,4200.0,27,32,11248.0,three_four,hatchback
178,3,toyota,gas,std,two,hatchback,rwd,front,10290,18350,6770,5200,2976,dohc,six,171,mpfi,3.27,3.35,930,161.0,5200.0,20,24,16558.0,five_six,hatchback
179,3,toyota,gas,std,two,hatchback,rwd,front,10290,18350,6770,5200,3016,dohc,six,171,mpfi,3.27,3.35,930,161.0,5200.0,19,24,15998.0,five_six,hatchback
180,-1,toyota,gas,std,four,sedan,rwd,front,10450,18780,6650,5410,3131,dohc,six,171,mpfi,3.27,3.35,920,156.0,5200.0,20,24,15690.0,five_six,sedan
181,-1,toyota,gas,std,four,wagon,rwd,front,10450,18780,6650,5410,3151,dohc,six,161,mpfi,3.27,3.35,920,156.0,5200.0,19,24,15750.0,five_six,wagon
182,2,volkswagen,diesel,std,two,sedan,fwd,front,9730,17170,6550,5570,2261,ohc,four,97,idi,3.01,3.4,2300,52.0,4800.0,37,46,7775.0,three_four,sedan
183,2,volkswagen,gas,std,two,sedan,fwd,front,9730,17170,6550,5570,2209,ohc,four,109,mpfi,3.19,3.4,900,85.0,5250.0,27,34,7975.0,three_four,sedan
184,2,volkswagen,diesel,std,four,sedan,fwd,front,9730,17170,6550,5570,2264,ohc,four,97,idi,3.01,3.4,2300,52.0,4800.0,37,46,7995.0,three_four,sedan
185,2,volkswagen,gas,std,four,sedan,fwd,front,9730,17170,6550,5570,2212,ohc,four,109,mpfi,3.19,3.4,900,85.0,5250.0,27,34,8195.0,three_four,sedan
186,2,volkswagen,gas,std,four,sedan,fwd,front,9730,17170,6550,5570,2275,ohc,four,109,mpfi,3.19,3.4,900,85.0,5250.0,27,34,8495.0,three_four,sedan
187,2,volkswagen,diesel,turbo,four,sedan,fwd,front,9730,17170,6550,5570,2319,ohc,four,97,idi,3.01,3.4,2300,68.0,4500.0,37,42,9495.0,three_four,sedan
188,2,volkswagen,gas,std,four,sedan,fwd,front,9730,17170,6550,5570,2300,ohc,four,109,mpfi,3.19,3.4,1000,100.0,5500.0,26,32,9995.0,three_four,sedan
189,3,volkswagen,gas,std,two,convertible,fwd,front,9450,15930,6420,5560,2254,ohc,four,109,mpfi,3.19,3.4,850,90.0,5500.0,24,29,11595.0,three_four,hardtop_convert
190,3,volkswagen,gas,std,two,hatchback,fwd,front,9450,16570,6400,5140,2221,ohc,four,109,mpfi,3.19,3.4,850,90.0,5500.0,24,29,9980.0,three_four,hatchback
191,0,volkswagen,gas,std,four,sedan,fwd,front,10040,18020,6690,5510,2661,ohc,five,136,mpfi,3.19,3.4,850,110.0,5500.0,19,24,13295.0,five_six,sedan
192,0,volkswagen,diesel,turbo,four,sedan,fwd,front,10040,18020,6690,5510,2579,ohc,four,97,idi,3.01,3.4,2300,68.0,4500.0,33,38,13845.0,three_four,sedan
193,0,volkswagen,gas,std,four,wagon,fwd,front,10040,18310,6690,5510,2563,ohc,four,109,mpfi,3.19,3.4,900,88.0,5500.0,25,31,12290.0,three_four,wagon
194,-2,volvo,gas,std,four,sedan,rwd,front,10430,18880,6720,5620,2912,ohc,four,141,mpfi,3.78,3.15,950,114.0,5400.0,23,28,12940.0,three_four,sedan
195,-1,volvo,gas,std,four,wagon,rwd,front,10430,18880,6720,5750,3034,ohc,four,141,mpfi,3.78,3.15,950,114.0,5400.0,23,28,13414.68,three_four,wagon
196,-2,volvo,gas,std,four,sedan,rwd,front,10430,18880,6720,5620,2935,ohc,four,141,mpfi,3.78,3.15,950,114.0,5400.0,24,28,15985.0,three_four,sedan
197,-1,volvo,gas,std,four,wagon,rwd,front,10430,18880,6720,5750,3042,ohc,four,141,mpfi,3.78,3.15,950,114.0,5400.0,24,28,16515.36,three_four,wagon
198,-2,volvo,gas,turbo,four,sedan,rwd,front,10430,18880,6720,5620,3045,ohc,four,130,mpfi,3.62,3.15,750,162.0,5100.0,17,22,18420.0,three_four,sedan
199,-1,volvo,gas,turbo,four,wagon,rwd,front,10430,18880,6720,5750,3157,ohc,four,130,mpfi,3.62,3.15,750,162.0,5100.0,17,22,18950.0,three_four,wagon
200,-1,volvo,gas,std,four,sedan,rwd,front,10910,18880,6890,5550,2952,ohc,four,141,mpfi,3.78,3.15,950,114.0,5400.0,23,28,16844.760000000002,three_four,sedan
201,-1,volvo,gas,turbo,four,sedan,rwd,front,10910,18880,6880,5550,3049,ohc,four,141,mpfi,3.78,3.15,870,160.0,5300.0,19,25,19045.0,three_four,sedan
202,-1,volvo,gas,std,four,sedan,rwd,front,10910,18880,6890,5550,3012,ohcv,six,173,mpfi,3.58,2.87,880,134.0,5500.0,18,23,21485.0,five_six,sedan
203,-1,volvo,diesel,turbo,four,sedan,rwd,front,10910,18880,6890,5550,3217,ohc,six,145,idi,3.01,3.4,2300,106.0,4800.0,26,27,22470.0,five_six,sedan
204,-1,volvo,gas,turbo,four,sedan,rwd,front,10910,18880,6890,5550,3062,ohc,four,141,mpfi,3.78,3.15,950,114.0,5400.0,19,25,22625.0,three_four,sedan
